File,Page No,Line No,Headline,Category,Block Headline,Item List Headline,Name,Parameter,Comment,Description,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,259,23402,21. Built-in Variables and Constants,General,,,$CURRENT_SCRIPT_SLOT,,,"This variable returns the script slot of the current script (zero-based, i.e. the first script slot is 0).",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23406,21. Built-in Variables and Constants,General,,,%GROUPS_SELECTED,group-idx,,"Each index of this variable array points to the group with the same index.
If a group is selected for editing, the corresponding array cell contains a 1, otherwise 0.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23411,21. Built-in Variables and Constants,General,,,$NI_ASYNC_EXIT_STATUS,,,"This variable returns a value of 1 if the command that triggered the on async_complete callback
has successfully completed its action. 0 if the command could not complete its action, e.g. file not
found.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23418,21. Built-in Variables and Constants,General,,,$NI_ASYNC_ID,,,This variable returns the ID of the command that triggered the on async_complete callback.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23423,21. Built-in Variables and Constants,General,,,$NI_BUS_OFFSET,,,"This constant is to be used in the <generic> part of the engine parameter commands to point to
the instrument bus level. Add the index of the bus you wish to address, e.g. $NI_BUS_OFFSET + 2
will point to instrument bus 3.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23429,21. Built-in Variables and Constants,General,,,$NUM_GROUPS,,,This variable returns the total amount of groups in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23433,21. Built-in Variables and Constants,General,,,$NUM_OUTPUT_CHANNELS,,,"This variable returns the total amount of output channels of the respective Kontakt multi, not
counting Aux channels.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23438,21. Built-in Variables and Constants,General,,,$NUM_ZONES,,,This variable returns the total amount of zones in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23442,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_INST,,,This variable returns the amount of played voices for the current instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,259,23446,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_TOTAL,,,This variable returns the amount of played voices for all instruments.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23452,21. Built-in Variables and Constants,General,,,$REF_GROUP_IDX,,,This variable returns the group index of the currently viewed group in Kontakt's instrument edit view.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23457,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_LIBRARY_DIR,,,"If used with a Kontakt Player encoded NKI: library folder.
If used with an unencoded NKI: the user content directory.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23460,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_FACTORY_DIR,,,"The factory folder of Kontakt, mainly used for loading factory IR samples.
Note: this is not the Kontakt Factory Library folder!",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23463,21. Built-in Variables and Constants,General,Path Variables,,$GET_FOLDER_PATCH_DIR,,,"The directory in which the patch was saved.
If the patch was not saved before, an empty string is returned.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23471,21. Built-in Variables and Constants,General,Time Machine Pro Variables,,$NI_VL_TMPRO_STANDARD,,,"User access for the two voice limits (Standard and High Quality) of the Time Machine Pro, to be
used with set_voice_limit() and get_voice_limit().",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,260,23472,21. Built-in Variables and Constants,General,Time Machine Pro Variables,,$NI_VL_TMPRO_HQ,,,"User access for the two voice limits (Standard and High Quality) of the Time Machine Pro, to be
used with set_voice_limit() and get_voice_limit().",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23477,21. Built-in Variables and Constants,Events and MIDI,,,$ALL_GROUPS,,,"This constant addresses all groups in the instrument when used with disallow_group(),
allow_group() or set_event_par_arr() functions.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23482,21. Built-in Variables and Constants,Events and MIDI,,,$ALL_EVENTS,,,"This constant addresses all events in functions which deal with an event ID number.
It also works with MIDI object commands that require a MIDI event ID.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_1,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_2,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_3,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_4,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_5,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_6,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_7,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_8,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_9,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_10,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_11,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_12,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_13,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_14,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_15,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_16,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_17,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_18,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_19,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_20,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_21,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_22,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_23,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_24,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_25,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_26,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_27,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23487,21. Built-in Variables and Constants,Events and MIDI,,,$MARK_28,,,"These constants can be used to create a bitmask that is used to group events at will.
It is intended to be used with by_marks() , set_event_mark(), get_event_mark(),
delete_event_mark(), mf_set_mark() and mf_get_mark() commands.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23493,21. Built-in Variables and Constants,Events and MIDI,,,%CC,controller-number,,"This variable array contains the current value for the specified MIDI CC (continuous controller)
message.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23498,21. Built-in Variables and Constants,Events and MIDI,,,$CC_NUM,,,"This variable contains the MIDI CC (continuous controller) number of the controller which triggered
the on controller callback.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23503,21. Built-in Variables and Constants,Events and MIDI,,,%CC_TOUCHED,controller-number,,"This variable array updates itself whenever a MIDI CC value is changed - 1 if the specified MIDI CC
value has changed, 0 otherwise.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23508,21. Built-in Variables and Constants,Events and MIDI,,,$EVENT_ID,,,"This variable contains the unique ID number of the event which triggered the on note or on
release callback.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23513,21. Built-in Variables and Constants,Events and MIDI,,,$CURRENT_EVENT,,,"This variable contains the unique ID number of the currently selected MIDI event, i.e. the MIDI event
at the position marker.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23518,21. Built-in Variables and Constants,Events and MIDI,,,$EVENT_NOTE,,,"This variable contains the note number of the event which triggered the on note or on release
callback.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,261,23523,21. Built-in Variables and Constants,Events and MIDI,,,$EVENT_VELOCITY,,,This variable contains the velocity of the note which triggered the on note callback.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,262,23531,21. Built-in Variables and Constants,Events and MIDI,Event Parameter Constants,Event parameters to be used with set_event_par() and get_event_par(),$EVENT_PAR_0,,,,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,262,23531,21. Built-in Variables and Constants,Events and MIDI,Event Parameter Constants,Event parameters to be used with set_event_par() and get_event_par(),$EVENT_PAR_1,,,,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,262,23531,21. Built-in Variables and Constants,Events and MIDI,Event Parameter Constants,Event parameters to be used with set_event_par() and get_event_par(),$EVENT_PAR_2,,,,,BUILT-IN
