File,Page No,Line No,Headline,Category,Name,Parameter List,Description,Remarks,Examples,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,33,1556,4. Variables,make_instr_persistent(),make_instr_persistent,variable,Retains the value of a variable within the instrument only.,"- make_instr_persistent() is similar to make_persistent(), however the value of a
variable is only saved with the instrument, not with snapshots. It can be used to prevent UI
elements from being changed when loading snapshots.","on init
    set_snapshot_type(1)    { init callback not executed upon snapshot loading }

    declare ui_knob $knob_1 (0, 2, 1)
    set_text($knob_1, ""Pers"")
    make_persistent($knob_1)

    declare ui_knob $knob_2 (0, 2, 1)
    set_text($knob_2, ""Inst Pers"")
    make_instr_persistent($knob_2)

    declare ui_knob $knob_3 (0, 2, 1)
    set_text($knob_3, ""Not Pers"")
end on
The second knob will not be changed when loading snapshots.","read_persistent_var()
make_persistent()
set_snapshot_type()",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,34,1591,4. Variables,make_persistent(),make_persistent,variable,Retains the value of a variable with the instrument and snapshot.,"- The state of the variable is saved not only with the instrument,multi or host chunk, but also
when a script is saved as a Kontakt preset (.nkp file).
- The state of the variable is read at the end of the init callback. To load a stored value manually
within the init callback, insert read_persistent_var() before using the stored value.
- You can also use the on persistence_changed callback for retrieving the values of
persistent variables.
- When updating script code by replacing old code with new one, the values of persistent
variables that have identical names will be retained.
- Sometimes, when working on more complex scripts, you might want to flush the values of
persistent variables by resetting the script. You can do this by loading the - INIT Script - preset
from the Script Editor's Preset menu, then applying your code again.","on init
    declare ui_knob $Preset (1, 10, 1)
    make_persistent($Preset)
end on
User interface elements, such as knobs, should usually retain their value when reloading the
instrument.","read_persistent_var()
on persistence_changed
make_instr_persistent()",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,35,1624,4. Variables,read_persistent_var(),read_persistent_var,variable,Instantly reloads the value of a variable that was saved via the make_persistent() command.,"- This command can only be used within the on init callback.
- You can also use the on persistence_changed callback for retrieving the values of
persistent variables.","on init
    declare ui_label $label (1, 1)
    declare ui_button $button
    set_text($button, ""$a := 10000"")

    declare $a
    make_persistent($a)
    { read_persistent_var($a) }
    set_text($label, $a)
end on

on ui_control ($button)
    $a := 10000
    set_text($label, $a)
end on
After applying this script, click on the button and then save and close the NKI. After reloading it,
the label will display 0 because the value of $a is initialized at the very end of the init callback.
Now remove the comment around read_persistent_var and apply the script again to see the
difference.","make_persistent()
on persistence_changed",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,36,1662,4. Variables,watch_var(),watch_var,variable,Sends an event to the Creator Tools KSP Log for every change of the watched variable’s value.,"- This command can only be used within the on init callback.
- This command has no effect on Kontakt’s status bar – the events only appear in Creator Tools.
- This command does not work with built-in variables ($ENGINE_UPTIME, $NOTE_HELD,
$KSP_TIMER, etc.)","on init
    declare $intVar

    watch_var($intVar)
    make_persistent($intVar)
end on

on note
    $intVar := $EVENT_VELOCITY
end on
Try playing some notes while having Creator Tools running. Make sure you have the KSP Variables or
KSP Log panel focused.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,37,1689,4. Variables,watch_array_idx(),watch_array_idx,"array,array_idx",Sends an event to the Creator Tools KSP Log for every change of the watched array index’s value.,"- This command can only be used within the on init callback.
- This command has no effect on Kontakt’s status bar – the events only appear in Creator Tools.
- This command does not work with built-in array variables (%KEY_DOWN, %CC, %EVENT_PAR,
etc.).","on init
    declare %mykeys[128]

    watch_array_idx(%mykeys, 60)
    watch_array_idx(%mykeys, 61)
    watch_array_idx(%mykeys, 62)
    watch_array_idx(%mykeys, 63)
    watch_array_idx(%mykeys, 64)

    declare ui_button $Save
    declare ui_button $Load
end on

on note
    %mykeys[$EVENT_NOTE] := $EVENT_VELOCITY
end on

on ui_control($Save)
    save_array(%mykeys, 0)
end on

on ui_control($Load)
    load_array(%mykeys, 0)
end on
Try playing some notes or clicking on the save and load buttons while having Creator Tools running.
Make sure you have the KSP Variables or KSP Log panel focused.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,44,1888,5. Arithmetic Commands & Operators,random(),random,"min,max",Generates a random integer between (and including) <min> and <max>.,,"on init
    declare $rnd_amt
    declare $new_vel
end on

on note
    $rnd_amt := $EVENT_VELOCITY * 10 / 100
    $new_vel := random($EVENT_VELOCITY - $rnd_amt, $EVENT_VELOCITY + $rnd_amt)

    { mirror invalid velocity values into the allowed velocity range }
    if ($new_vel > 127)
        $new_vel := 127 - ($new_vel mod 127)
    end if

    if ($new_vel < 1)
        $new_vel := 1 + abs($new_vel)
    end if

    change_velo($EVENT_ID, $new_vel)
end on
Randomly changing velocities by ±10 percent.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,45,1919,5. Arithmetic Commands & Operators,real(),real,integer-value,Converts an integer value into a real number.,,"on init
    declare ~velocity_disp
end on

on note
    ~velocity_disp := real($EVENT_VELOCITY) / 127.0
    message(~velocity_disp)
end on
Displays the event velocity in the range from 0.0 to 1.0.",int(),BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,46,1941,5. Arithmetic Commands & Operators,int(),int,real-value,Converts a real number into an integer.,"- Using this command without any rounding function will cause the real value to be truncated, so
performing this function with real values 2.2 and 2.8 will both return an integer value of 2
- Be aware that this command reduces precision from 64-bit to 32-bit, which means that valid
real numbers outside of 32-bit signed integer range (-2147483648 ... 2147483647) will not be
properly converted, since they end up in overflow.","on init
    declare $test_int
    declare ~test_real := 2.8

    $test_int := int(~test_real)
    message($test_int)
end on
Converting a variable from real to integer and then displaying it.","real()
Rounding Commands: ceil(), floor(), round()",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,47,1969,5. Arithmetic Commands & Operators,msb(),msb,value,Returns the most significant byte portion of a 14-bit value.,,"on rpn
    message(msb($RPN_VALUE))
end on
Commonly used when working with RPN and NRPN messages.
on init
    declare ui_value_edit $Value (0, 16383, 1)
end on

on ui_control ($Value)
    message(""MSB: "" & msb($Value) & "" - LSB: "" & lsb($Value))
end on
Understanding MSB and LSB.","lsb()
Events and MIDI: $RPN_ADDRESS, $RPN_VALUE",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,48,1995,5. Arithmetic Commands & Operators,lsb(),lsb,value,Returns the least significant byte portion of a 14-bit value.,,"on rpn
    message(lsb($RPN_VALUE))
end on
Commonly used when working with RPN and NRPN messages.
on init
    declare ui_value_edit $Value (0, 16383, 1)
end on

on ui_control ($Value)
    message(""MSB: "" & msb($Value) & "" - LSB: "" & lsb($Value))
end on
Understanding MSB and LSB.","msb()
Events and MIDI: $RPN_ADDRESS, $RPN_VALUE",BUILT-IN
