File,Page No,Line No,Headline,Category,Block Headline,Item List Headline,Name,Parameter,Comment,Description,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,275,9580,21. Built-in Variables and Constants,General,,,$CURRENT_SCRIPT_SLOT,,,"This variable returns the script slot of the current script (zero-based, i.e. the first script slot is 0).",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9585,21. Built-in Variables and Constants,General,,,%GROUPS_SELECTED,group-idx,,"Each index of this variable array points to the group with the same index.
If a group is selected for editing, the corresponding array cell contains a 1, otherwise 0.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9591,21. Built-in Variables and Constants,General,,,$NI_ASYNC_EXIT_STATUS,,,"This variable returns a value of 1 if the command that triggered the on async_complete callback
has successfully completed its action. 0 if the command could not complete its action, e.g. file not
found.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9598,21. Built-in Variables and Constants,General,,,$NI_ASYNC_ID,,,This variable returns the ID of the command that triggered the on async_complete callback.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9603,21. Built-in Variables and Constants,General,,,$NI_BUS_OFFSET,,,"This constant is to be used in the <generic> part of the engine parameter commands to point to
the instrument bus level. Add the index of the bus you wish to address, e.g. $NI_BUS_OFFSET + 2
will point to instrument bus 3.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9610,21. Built-in Variables and Constants,General,,,$NUM_GROUPS,,,This variable returns the total amount of groups in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9615,21. Built-in Variables and Constants,General,,,$NUM_OUTPUT_CHANNELS,,,"This variable returns the total amount of output channels of the respective Kontakt multi, not
counting Aux channels.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9621,21. Built-in Variables and Constants,General,,,$NUM_ZONES,,,This variable returns the total amount of zones in an instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9626,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_INST,,,This variable returns the amount of played voices for the current instrument.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,275,9631,21. Built-in Variables and Constants,General,,,$PLAYED_VOICES_TOTAL,,,This variable returns the amount of played voices for all instruments.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9638,21. Built-in Variables and Constants,General,,,$REF_GROUP_IDX,,,This variable returns the group index of the currently viewed group in Kontakt's instrument edit view.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9645,21. Built-in Variables and Constants,General,Path Variables,The following path variables are available,$GET_FOLDER_LIBRARY_DIR,,,"If used with a patch which belongs to a Kontakt Player encoded library: library folder.
macOS: /Users/<UserName>/Documents/Native Instruments/User Content/
Windows: C:\Users\<UserName>\Documents\Native Instruments\User Content\",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9650,21. Built-in Variables and Constants,General,Path Variables,"If used with an unencoded patch: the User Content folder, which is found as follows",$GET_FOLDER_FACTORY_DIR,,,"The factory data folder of Kontakt, mainly used for loading factory IR samples.
Note: This is not the Kontakt Factory Library folder!",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9653,21. Built-in Variables and Constants,General,Path Variables,"If used with an unencoded patch: the User Content folder, which is found as follows",$GET_FOLDER_PATCH_DIR,,,"The folder in which the patch is saved.
If the patch was not saved before, an empty string is returned.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9656,21. Built-in Variables and Constants,General,Path Variables,"If used with an unencoded patch: the User Content folder, which is found as follows",$GET_FOLDER_RC_DIR,,,"The folder in which the Resource Container is saved. This path is generally recommended to be
used when referencing other files in the library structure (for example, NKA or MIDI files), since the
path to Resource Container is the same for Kontakt Player encoded library and unencoded patches.
If no Resource Container is set for the insturment, an empty string is returned.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,276,9666,21. Built-in Variables and Constants,General,Time Machine Pro Variables,,$NI_VL_TMPRO_STANDARD,,,"User access for the two voice limits (Standard and High Quality) of the Time Machine Pro, to be
used with set_voice_limit() and get_voice_limit().",,BUILT-IN
