File,Page No,Line No,Headline,Category,Name,Variable Name,Index Name,Parameter List,Description,Remarks,Examples,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,52,3404,7. User Interface Widgets,ui_button,ui_button,$<variable-name>,,,Creates a button in the performance view.,"- UI callback for button is triggered when releasing the mouse (on mouse up).
- A button cannot be MIDI learned or host automated.","on init
    declare ui_button $free_sync_button
    $free_sync_button := 1

    set_text($free_sync_button, ""Sync"")

    make_persistent($free_sync_button)
    read_persistent_var($free_sync_button)

    if ($free_sync_button = 0)
        set_text($free_sync_button, ""Free"")
    else
        set_text($free_sync_button, ""Sync"")
    end if
end on

on ui_control ($free_sync_button)
    if ($free_sync_button = 0)
        set_text($free_sync_button, ""Free"")
    else
        set_text($free_sync_button, ""Sync"")
    end if
end on
A simple freerun/tempo sync button implementation.",ui_switch,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,53,3444,7. User Interface Widgets,ui_file_selector,ui_file_selector,$<variable-name>,,,Creates a file selector in the performance view.,,"on init
    message("""")
    set_ui_height(5)

    declare $load_mf_id := -1
    declare @file_name
    declare @file_path
    declare @basepath
    { set browser path here, for example:
    @basepath := ""/Users/username/Desktop/MIDI Files/"" }

    declare ui_file_selector $file_browser

    declare $browser_id
    $browser_id := get_ui_id($file_browser)

    set_control_par_str($browser_id, $CONTROL_PAR_BASEPATH, @basepath)
    set_control_par($browser_id, $CONTROL_PAR_FILE_TYPE, $NI_FILE_TYPE_MIDI)
    set_control_par($browser_id, $CONTROL_PAR_COLUMN_WIDTH, 180)
    set_control_par($browser_id, $CONTROL_PAR_HEIGHT, 170)
    set_control_par($browser_id, $CONTROL_PAR_WIDTH, 550)

    move_control_px($file_browser, 66, 2)

    declare ui_button $prev
    declare ui_button $next

    move_control($prev, 5, 1)
    move_control($next, 6, 1)
end on

on async_complete
    if ($NI_ASYNC_ID = $load_mf_id)
        $load_mf_id := -1

        if ($NI_ASYNC_EXIT_STATUS = 0)
            message(""MIDI file not found!"")
        else
            message(""Loaded MIDI File: "" & @file_name)
        end if
    end if
end on

on ui_control ($file_browser)
    @file_name := fs_get_filename($browser_id, 0)
    @file_path := fs_get_filename($browser_id, 2)
    $load_mf_id := load_midi_file(@file_path)
end on

on ui_control ($prev)
    { calls 'on ui_control ($file_browser)' }
    fs_navigate($browser_id, 0)
    $prev := 0
end on

on ui_control ($next)
    { calls 'on ui_control ($file_browser)' }
    fs_navigate($browser_id, 1)
    $next := 0
end on
Loading MIDI files via the file selector.",fs_navigate(),BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,55,3518,7. User Interface Widgets,ui_label,ui_label,$<variable-name>,,"grid-width,grid-height","Creates a text or image label in the performance view
<grid-width>: The width of the label in grid units (1 to 6)
<grid-height>: The height of the label in grid units (1 to 16)",,,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,56,3551,7. User Interface Widgets,ui_level_meter,ui_level_meter,$<variable-name>,,,Creates a level meter in the performance view.,"- The level meter can display the output levels of instrument buses, main instrument output, and
gain reduction from compressor and limiter effects.","on init
    declare ui_level_meter $Level1
    declare ui_level_meter $Level2

    attach_level_meter(get_ui_id($Level1), -1, -1, 0, -1)
    attach_level_meter(get_ui_id($Level2), -1, -1, 1, -1)
end on
Creating two volume meters, each displaying one channel of Kontakt’s instrument output.","attach_level_meter()
Specific: $CONTROL_PAR_BG_COLOR, $CONTROL_PAR_OFF_COLOR,
$CONTROL_PAR_ON_COLOR, $CONTROL_PAR_OVERLOAD_COLOR,
$CONTROL_PAR_PEAK_COLOR, $CONTROL_PAR_VERTICAL, $CONTROL_PAR_RANGE_MIN,
$CONTROL_PAR_RANGE_MAX",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,57,3579,7. User Interface Widgets,ui_knob,ui_knob,$<variable-name>,,"min,max,display-ratio","Creates a knob in the performance view.
<min>: The minimum value of the knob.
<max>: The maximum value of the knob.
<display-ratio>: The knob value is divided by <display-ratio> for display purposes.",,"on init
    declare ui_knob $Knob_1 (0, 1000, 1)
    declare ui_knob $Knob_2 (0, 1000, 10)
    declare ui_knob $Knob_3 (0, 1000, 100)
    declare ui_knob $Knob_4 (0, 1000, 20)
    declare ui_knob $Knob_5 (0, 1000, -10)
end on
Various display ratios.

on init
    declare $count
    declare !note_class[12]
    !note_class[0] := ""C""
    !note_class[1] := ""C#""
    !note_class[2] := ""D""
    !note_class[3] := ""D#""
    !note_class[4] := ""E""
    !note_class[5] := ""F""
    !note_class[6] := ""F#""
    !note_class[7] := ""G""
    !note_class[8] := ""G#""
    !note_class[9] := ""A""
    !note_class[10] := ""Bb""
    !note_class[11] := ""B""
    declare !note_names [128]

    while ($count < 128)
        !note_names[$count] := !note_class[$count mod 12] & (($count / 12) - 2)

        inc($count)
    end while

    declare ui_knob $Note (0, 127, 1)

    make_persistent($Note)
    read_persistent_var($Note)

    set_knob_label($Note, !note_names[$Note])
end on

on ui_control ($Note)
    set_knob_label($Note, !note_names[$Note])
end on
Knob displaying MIDI note names.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,58,3635,7. User Interface Widgets,ui_menu,ui_menu,$<variable-name>,,,Creates a drop-down menu in the performance view.,,"on init
    declare ui_menu $menu

    add_menu_item($menu, ""First Entry"", 0)
    add_menu_item($menu, ""Second Entry"", 1)
    add_menu_item($menu, ""Third Entry"", 2)
end on
A simple menu.

on init
    declare $count
    declare ui_menu $menu

    $count := 0
    while ($count < 20)
        add_menu_item($menu, ""Entry #"" & $count + 1, $count)

        inc($count)
    end while
end on
Quickly create a menu with many entries.","add_menu_item()
get_menu_item_str()
get_menu_item_value()
get_menu_item_visibility()
set_menu_item_str()
set_menu_item_value()
set_menu_item_visibility()",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,59,3675,7. User Interface Widgets,ui_mouse_area,ui_mouse_area,$<variable-name>,,,Creates a mouse area in the performance view.,"- A mouse area supports drag and drop of the following file types: audio (WAV, AIF, AIFF, NCW),
MIDI and KSP array (NKA).
- It is possible to define which types of files are accepted as drop targets and whether to accept
just one or multiple files.
- The mouse area widget is invisible, but the drop target can be shown or hidden, like any other
UI widget.","on init
    declare ui_mouse_area $waveDnD

    set_control_par(get_ui_id($waveDnD), $CONTROL_PAR_DND_ACCEPT_AUDIO, $NI_DND_ACCEPT_ONE)
    set_control_par(get_ui_id($waveDnD), $CONTROL_PAR_DND_ACCEPT_ARRAY, $NI_DND_ACCEPT_ONE)
    set_control_par(get_ui_id($waveDnD), $CONTROL_PAR_WIDTH, 90)
    set_control_par(get_ui_id($waveDnD), $CONTROL_PAR_HEIGHT, 32)
    set_control_par(get_ui_id($waveDnD), $CONTROL_PAR_RECEIVE_DRAG_EVENTS, 1)

    move_control_px($waveDnD, 66, 2)
end on
A mouse area widget which can accept a single audio or NKA file.
The on ui_control callback is triggered by a drop action. It has 3 built-in arrays:

!NI_DND_ITEMS_AUDIO
!NI_DND_ITEMS_MIDI
!NI_DND_ITEMS_ARRAY

Example UI callback

on ui_control ($waveDnD)
    if ($NI_MOUSE_EVENT_TYPE = $NI_MOUSE_EVENT_TYPE_DRAG)
        message(""DRAG"")
        message(""MOUSE OVER CONTROL: "" & $NI_MOUSE_OVER_CONTROL)
    end if

    if ($NI_MOUSE_EVENT_TYPE = $NI_MOUSE_EVENT_TYPE_DROP)
        if (num_elements(!NI_DND_ITEMS_AUDIO) = 1)
            wait_async(set_sample(%NI_USER_ZONE_IDS[0], !NI_DND_ITEMS_AUDIO[0]))
        end if
    end if
end on","Specific: $NI_MOUSE_EVENT_TYPE, $NI_MOUSE_EVENT_TYPE_DND_DROP,
$NI_MOUSE_EVENT_TYPE_DND_DRAG, $NI_MOUSE_OVER_CONTROL",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,60,3728,7. User Interface Widgets,ui_panel,ui_panel,$<variable-name>,,,Creates a panel for grouping widgets in the performance view.,"- A panel is a control which can contain one or multiple widgets. Unlike the rest of the UI
widgets, panels don’t have size. They are very useful for grouping controls that are meant
to be handled together, then one can simultaneously modify the $CONTROL_PAR_HIDE,
$CONTROL_PAR_POS_X, $CONTROL_PAR_POS_Y or $CONTROL_PAR_Z_LAYER properties of
all the controls contained in that panel. The position of a contained control is relative to the
panel’s position. This means that the control’s (0, 0) position is the current (x, y) position of the
panel.
- Panels can be nested, so they can contain other panels. If $panelA is contained in $panelB,
then $panelA will appear in front of $panelB. This is because children panels have a higher
Z-layer value than their parent panels. One could use this logic to easily create hierarchies in a
performance view.","on init
    declare ui_panel $mixer
    declare ui_knob $volume (0, 300, 1)
    set_control_par(get_ui_id($volume), $CONTROL_PAR_PARENT_PANEL,
get_ui_id($mixer))
end on
Adds the volume knob in the mixer panel.",General: $CONTROL_PAR_PARENT_PANEL,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,61,3760,7. User Interface Widgets,ui_slider,ui_slider,$<variable-name>,,"min,max","Creates a slider in the performance view.
<min>: The minimum value of the slider.
<max>: The maximum value of the slider.",,"on init
    declare ui_slider $test (0, 100)
    set_control_par(get_ui_id($test), $CONTROL_PAR_DEFAULT_VALUE, 50)
end on
Slider with default value.

on init
    declare ui_slider $test (-100, 100)
    declare $id

    $id := get_ui_id($test)

    $test := 0

    set_control_par($id, $CONTROL_PAR_MOUSE_BEHAVIOUR, 2000)
    set_control_par($id, $CONTROL_PAR_DEFAULT_VALUE, 0)
    set_control_par_str($id, $CONTROL_PAR_PICTURE, ""slider"")
end on
Creating a bipolar slider by loading a different picture background. See the chapter on the Resource
Container in order to learn more about how to use graphical assets with KSP.","ui_knob
set_control_par_arr()
Specific: $CONTROL_PAR_MOUSE_BEHAVIOUR",BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,62,3796,7. User Interface Widgets,ui_switch,ui_switch,$<variable-name>,,,Creates a switch in the performance view.,"- UI callback for switch is triggered when pressing the mouse (on mouse down).
- A switch can be MIDI learned and host automated, as opposed to a button.","on init
    declare ui_switch $rec_button

    declare $rec_button_id
    $rec_button_id := get_ui_id($rec_button)

    set_control_par($rec_button_id, $CONTROL_PAR_POS_X, 250)
    set_control_par($rec_button_id, $CONTROL_PAR_POS_Y, 5)
    set_control_par($rec_button_id, $CONTROL_PAR_WIDTH, 60)
    set_control_par($rec_button_id, $CONTROL_PAR_HEIGHT, 20)
    set_control_par($rec_button_id, $CONTROL_PAR_TEXT_ALIGNMENT, 1)
    set_control_par_str($rec_button, $CONTROL_PAR_TEXT, ""Record"")
end on
Switch with various settings utilizing set_control_par() and set_control_par_str().",ui_button,BUILT-IN
