File;Page No;Line No;Headline;Category;Name;Parameter;Description;Remarks;Examples;See Also;Source
KSP_Reference_Manual.txt.py;3;438;3. Callbacks;"on async_complete
";async_complete;;"on async_complete
Async complete callback, triggered after the execution of any command that is executed
asynchronously, for example various loading or saving related commands.";"- To resolve synchronization issues, the commands listed in the ""See Also"" section below return
unique IDs when being used.
- Upon completion of the command’s action, the on async_complete callback gets triggered
and the built-in variable $NI_ASYNC_ID is updated with the ID of the command that triggered
the callback.
- If the command was completed successfully (for example if the file was found and
successfully loaded), the internal value of $NI_ASYNC_EXIT_STATUS is set to 1, otherwise it
is 0.";"on init
    declare $load_midi_file_id
    declare ui_button $load_midi_file
end on

on ui_control ($load_midi_file)
    $load_midi_file_id := load_midi_file(<midi-file-path>)

    while ($load_midi_file_id # -1)
        wait(1)
    end while

    message(""MIDI file loaded!"")
end on

on async_complete
    if ($NI_ASYNC_ID = $load_midi_file_id)
        $load_midi_file_id := -1
    end if
end on
Example that pauses the ui_control callback until the file is loaded.";"Load/Save Commands
set_voice_limit()
save_midi_file()
mf_insert_file()
mf_set_buffer_size()
mf_reset()
set_engine_par()
set_zone_par()
set_loop_par()
set_sample()
Music Information Retrieval: MIR Commands
Built-in Variables and Constants: $NI_ASYNC_EXIT_STATUS, $NI_ASYNC_ID
Module Types and Subtypes: $ENGINE_PAR_EFFECT_TYPE, $ENGINE_PAR_EFFECT_SUBTYPE";BUILT-IN
KSP_Reference_Manual.txt.py;6;499;3. Callbacks;"on controller
";controller;;"on controller
MIDI controller callback, executed whenever a MIDI CC, Pitch Bend or Channel Pressure message is
received.";;"on controller
    if (in_range($CC_NUM, 0, 127))
        message(""CC Number: "" & $CC_NUM & "" - Value: "" & %CC[$CC_NUM])
    else
        if ($CC_NUM = $VCC_PITCH_BEND)
            message(""Pitch Bend - Value: "" & %CC[$CC_NUM])
        end if

        if ($CC_NUM = $VCC_MONO_AT)
            message(""Channel Pressure - Value: "" & %CC[$CC_NUM])
        end if
    end if
end on
Query MIDI CC, Pitch Bend and Channel Pressure data.";"set_controller()
ignore_controller
Events and MIDI: %CC[], $CC_NUM, $VCC_PITCH_BEND, $VCC_MONO_AT";BUILT-IN
KSP_Reference_Manual.txt.py;7;528;3. Callbacks;"on init
";init;;"on init
Initialization callback, executed when the script was successfully compiled without warnings or
errors.";"The on init callback will be executed when:
- The ""Apply"" button is clicked in Script Editor.
- Script preset or an instrument are loaded.
- Kontakt's audio engine is restarted by clicking the ""Restart Engine"" button in the Monitor >
Engine tab, or ""!"" button in Kontakt's header.
- Snapshot is loaded with set_snapshot_type() set to 0 or 2
- Creator Tools is connected to a Kontakt instance, and GUI Designer's performance view
file is resaved. In this case, the scripts are reinitialized automatically in order to update the
performance view with most recent changes.";"on init
    declare ui_button $Sync
    declare ui_menu $Time

    add_menu_item($Time, ""16th"", 0)
    add_menu_item($Time, ""8th"", 1)

    $Sync := 0   { sync is off by default, so hide menu }

    move_control($Time, 0, 0)
    move_control($Sync, 1, 1)

    make_persistent($Sync)
    make_persistent($Time)

    read_persistent_var ($Sync)

    if ($Sync = 1)
        move_control($time, 2, 1)
    else
        move_control($Time, 0, 0)
    end if
end on

on ui_control ($Sync)
    if ($Sync = 1)
        move_control($Time, 2, 1)
    else
        move_control($Time, 0, 0)
    end if
end on
init callback with read_persistent_var().

on init
    declare ui_button $Sync
    declare ui_menu $Time

    make_persistent($Sync)
    make_persistent($Time)
end on

function show_menu()
    if ($Sync = 1)
        move_control($Time, 2, 1)
    else
        move_control($Time, 0, 0)
    end if
end function

on persistence_changed
    call show_menu()
end on

on ui_control ($Sync)
    call show_menu()
end on
The same script functionality, now with persistence_changed callback. This is the preferred method
to use, especially when utilizing snapshots!";"make_persistent()
read_persistent_var()
on persistence_changed";BUILT-IN
KSP_Reference_Manual.txt.py;9;621;3. Callbacks;"on listener
";listener;;"on listener
Listener callback, executed at definable time intervals or whenever a transport command is
received.";"- The listener callback is executed at time intervals defined with the set_listener()
command. It can also react to the host's transport start and stop commands. This makes
it the ideal callback for anything tempo-synced, like sequencers, arpeggiators, MIDI file players
etc.
- In some situations (like tempo changes within the host), ticks can be occasionally left out.";"on init
    declare ui_knob $Test (0, 99, 1)
    declare $direction
    declare $tick_counter

    set_listener($NI_SIGNAL_TIMER_MS, 10000)
end on

on listener
    if ($NI_SIGNAL_TYPE = $NI_SIGNAL_TIMER_MS)
        if ($direction = 0)
            inc($tick_counter)
        else
            dec($tick_counter)
        end if

        $Test := $tick_counter

        if ($tick_counter = 99)
            $direction := 1
        end if

        if ($tick_counter = 0)
            $direction := 0
        end if
    end if
end on
Not useful as such, but nice to look at.";"set_listener()
change_listener_par()
Callbacks and UI: $NI_SIGNAL_TYPE, $NI_SONG_POSITION";BUILT-IN
KSP_Reference_Manual.txt.py;10;671;3. Callbacks;"on note
";note;;"on note
Note callback, executed whenever a MIDI Note On message is received.";;"on note
    message(""Note Number: "" & $EVENT_NOTE & "" - Velocity: "" & $EVENT_VELOCITY)
end on
Query note properties.";"on release
ignore_event()
set_event_par()
get_event_par()
Events and MIDI: $EVENT_NOTE, $EVENT_VELOCITY, $EVENT_ID";BUILT-IN
KSP_Reference_Manual.txt.py;11;691;3. Callbacks;"on persistence_changed
";persistence_changed;;"on persistence_changed
Executed after the on init callback, or whenever a snapshot has been loaded.";"- This callback is called whenever the persistent variables change in an instrument, i.e. it is
always executed after the on init callback, and/or upon loading a snapshot.";"on init
    set_snapshot_type(1)    { init callback not executed upon snapshot loading }
    reset_ksp_timer

    declare $init_flag      { 1 if init callback has been executed, 0 otherwise }
    $init_flag := 1

    declare ui_label $label (2, 2)
    set_text($label, ""Init callback "" & $KSP_TIMER)
end on

function add_text()
    add_text_line($label, ""Persistence changed callback "" & $KSP_TIMER)
end function

on persistence_changed
    if ($init_flag = 1)    { instrument has been loaded }
        call add_text()
    else    { snapshot has been loaded }
        set_text($label, ""Snapshot loaded!"")
    end if

    $init_flag := 0
end on
Query if a snapshot or instrument has been loaded. This also demonstrates the ability to call
functions upon initialization, i.e. the persistence callback acts as an extension to the init callback.";"on init
read_persistent_var()
set_snapshot_type()";BUILT-IN
KSP_Reference_Manual.txt.py;12;735;3. Callbacks;"on pgs_changed
";pgs_changed;;"on pgs_changed
Executed whenever any pgs_set_key_val() command is executed in any script slot.";"- PGS stands for Program Global Storage and is a means of communication between script
slots. See the chapter on PGS for more details.";"on init
    pgs_create_key(FIRST_KEY, 1)    { defines a key with 1 element }
    pgs_create_key(NEXT_KEY, 128)   { defines a key with 128 elements }

    declare ui_button $Push
end on

on ui_control($Push)
    pgs_set_key_val(FIRST_KEY, 0, 70 * $Push)
    pgs_set_key_val(NEXT_KEY, 0, 50 * $Push)
    pgs_set_key_val(NEXT_KEY, 127, 60 * $Push)
end on
Pressing the button...

on init
    declare ui_knob $First (0, 100, 1)
    declare ui_table %Next[128] (5, 2, 100)
end on

on pgs_changed
    { checks if FIRST_KEY and NEXT_KEY have been declared }
    if (pgs_key_exists(FIRST_KEY) and pgs_key_exists(NEXT_KEY))
        $First := pgs_get_key_val(FIRST_KEY, 0)
        %Next[0] := pgs_get_key_val(NEXT_KEY, 0)
        %Next[127] := pgs_get_key_val(NEXT_KEY, 127)
    end if
end on
…will change the controls in this example, regardless of the script slot order.";PGS: pgs_create_key(), pgs_set_key_val(), pgs_get_key_val();BUILT-IN
KSP_Reference_Manual.txt.py;13;779;3. Callbacks;"on poly_at
";poly_at;;"on poly_at
Polyphonic aftertouch callback, executed whenever a MIDI Polyphonic Aftertouch message is
received.";;"on init
    declare %note_id[128]
end on

on note
    %note_id[$EVENT_NOTE] := $EVENT_ID
end on

on poly_at
    change_tune(%note_id[$POLY_AT_NUM], %POLY_AT[$POLY_AT_NUM] * 1000, 0)
end on
A simple poly aftertouch to pitch implementation.";Events and MIDI: %POLY_AT[], $POLY_AT_NUM, $VCC_MONO_AT;BUILT-IN
KSP_Reference_Manual.txt.py;14;804;3. Callbacks;"on release
";release;;"on release
Release callback, executed whenever a MIDI Note Off message is received.";;"on init
    declare polyphonic $new_id
end on

on release
    wait(1000)
    $new_id := play_note($EVENT_NOTE, $EVENT_VELOCITY, 0, 100000)
    change_vol($new_id, -24000, 1)
end on
Creating an artificial release triggered noise.";"on note
ignore_event()
get_event_par(): $EVENT_PAR_REL_VELOCITY";BUILT-IN
KSP_Reference_Manual.txt.py;15;828;3. Callbacks;"on rpn/nrpn
";rpn;;"on rpn/nrpn
RPN and NRPN callbacks, executed whenever a MIDI RPN or NRPN (registered/non-registered
parameter number) message is received.";;"on rpn
    select ($RPN_ADDRESS)
        case 0
            message(""Pitch Bend Sensitivity"" & "" - Value: "" & $RPN_VALUE)
        case 1
            message(""Fine Tuning"" & "" - Value: "" & $RPN_VALUE)
        case 2
            message(""Coarse Tuning"" & "" - Value: "" & $RPN_VALUE)
    end select
end on
Query standard RPN messages.";"on controller
set_rpn()/set_nrpn()
msb()
lsb()
Events and MIDI: $RPN_ADDRESS, $RPN_VALUE";BUILT-IN
